Accession_ID	GO_Count	BP_GO_IDs	BP_GO_Names	MF_GO_IDs	MF_GO_Names	CC_GO_IDs	CC_GO_Names
Dcitr02g0647011	1			GO:0003676	"nucleic acid binding"		
Dcitr06g1049011	2	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700	"DNA-binding transcription factor activity"		
Dcitr00g0725011	2			GO:0005525	"GTP binding"	GO:0005730	"nucleolus"
Dcitr02g0180011	1			GO:0042302	"structural constituent of cuticle"		
Dcitr13g0708011	1			GO:0008289	"lipid binding"		
Dcitr10g0756011	3	GO:0030036;GO:0051014	"actin cytoskeleton organization";"actin filament severing"	GO:0051015	"actin filament binding"		
Dcitr07g0581011	5	GO:0006772;GO:0009229	"thiamine metabolic process";"thiamine diphosphate biosynthetic process"	GO:0005524;GO:0004788;GO:0030975	"ATP binding";"thiamine diphosphokinase activity";"thiamine binding"		
Dcitr04g0437011	2	GO:0006886	"intracellular protein transport"			GO:0031083	"BLOC-1 complex"
Dcitr09g0121011	2	GO:0098789	"pre-mRNA cleavage required for polyadenylation"			GO:0005847	"mRNA cleavage and polyadenylation specificity factor complex"
Dcitr02g1060012	9	GO:0055114	"oxidation-reduction process"	GO:0050660;GO:0005506;GO:0016491;GO:0046872;GO:0051536;GO:0071949;GO:0009055;GO:0051537	"flavin adenine dinucleotide binding";"iron ion binding";"oxidoreductase activity";"metal ion binding";"iron-sulfur cluster binding";"FAD binding";"electron transfer activity";"2 iron, 2 sulfur cluster binding"		
Dcitr07g0616011	3	GO:0006564	"L-serine biosynthetic process"	GO:0004648;GO:0003824	"O-phospho-L-serine:2-oxoglutarate aminotransferase activity";"catalytic activity"		
Dcitr06g1554011	10	GO:0001919;GO:0042632;GO:0007040;GO:0032008;GO:0043410;GO:0016197;GO:0071230	"regulation of receptor recycling";"cholesterol homeostasis";"lysosome organization";"positive regulation of TOR signaling";"positive regulation of MAPK cascade";"endosomal transport";"cellular response to amino acid stimulus"			GO:0071986;GO:0045121;GO:0031902	"Ragulator complex";"membrane raft";"late endosome membrane"
Dcitr03g1074011	5	GO:0006355	"regulation of transcription, DNA-templated"	GO:0019904;GO:0043565;GO:0008134;GO:0003700	"protein domain specific binding";"sequence-specific DNA binding";"transcription factor binding";"DNA-binding transcription factor activity"		
Dcitr04g1194011	1			GO:0003677	"DNA binding"		
Dcitr00g0780011	3	GO:1902600	"proton transmembrane transport"	GO:0042626	"ATPase-coupled transmembrane transporter activity"	GO:0016471	"vacuolar proton-transporting V-type ATPase complex"
Dcitr05g0425011	1			GO:0003676	"nucleic acid binding"		
Dcitr00g0569011	2	GO:0006260	"DNA replication"	GO:0003677	"DNA binding"		
Dcitr11g0533012	1			GO:0008017	"microtubule binding"		
Dcitr03g0376011	4	GO:1905515;GO:0006508	"non-motile cilium assembly";"proteolysis"	GO:0004252	"serine-type endopeptidase activity"	GO:0034464	"BBSome"
Dcitr05g0789012	4	GO:0006367;GO:0032968	"transcription initiation from RNA polymerase II promoter";"positive regulation of transcription elongation from RNA polymerase II promoter"	GO:0003677	"DNA binding"	GO:0005634	"nucleus"
Dcitr12g0416011	2	GO:0006508	"proteolysis"	GO:0008236	"serine-type peptidase activity"		
Dcitr11g0110011	3	GO:0071805	"potassium ion transmembrane transport"	GO:0005267	"potassium channel activity"	GO:0016020	"membrane"
Dcitr05g1552011	1					GO:0016021	"integral component of membrane"
Dcitr05g1423011	1	GO:0006606	"protein import into nucleus"				
Dcitr04g0405012	2			GO:0016747;GO:0003824	"transferase activity, transferring acyl groups other than amino-acyl groups";"catalytic activity"		
Dcitr05g0317011	2	GO:0000413	"protein peptidyl-prolyl isomerization"	GO:0003755	"peptidyl-prolyl cis-trans isomerase activity"		
Dcitr01g1040011	2			GO:0017056	"structural constituent of nuclear pore"	GO:0005643	"nuclear pore"
Dcitr05g1327011	2			GO:0042802;GO:0030695	"identical protein binding";"GTPase regulator activity"		
Dcitr05g0430011	3	GO:0006364;GO:0006406	"rRNA processing";"mRNA export from nucleus"			GO:0032040	"small-subunit processome"
Dcitr01g1639011	1			GO:0004045	"aminoacyl-tRNA hydrolase activity"		
Dcitr05g1587011	2	GO:0006351	"transcription, DNA-templated"			GO:0070176	"DRM complex"
Dcitr04g1198011	3	GO:0030042	"actin filament depolymerization"	GO:0003779	"actin binding"	GO:0015629	"actin cytoskeleton"
Dcitr01g0318011	1			GO:0005549	"odorant binding"		
Dcitr08g0498011	3	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0005524	"protein kinase activity";"ATP binding"		
Dcitr05g0902011	4	GO:0006351	"transcription, DNA-templated"	GO:0003899;GO:0003677;GO:0008270	"DNA-directed 5'-3' RNA polymerase activity";"DNA binding";"zinc ion binding"		
Dcitr12g0879011	3			GO:0005524;GO:0003774	"ATP binding";"motor activity"	GO:0016459	"myosin complex"
Dcitr01g0564011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr01g1250012	1	GO:0007165	"signal transduction"				
Dcitr12g0975011	2	GO:0050909	"sensory perception of taste"			GO:0016021	"integral component of membrane"
Dcitr06g1450011	4			GO:0003824;GO:0004571;GO:0005509	"catalytic activity";"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"calcium ion binding"	GO:0016020	"membrane"
Dcitr12g1001011	2	GO:0007275	"multicellular organism development"	GO:0004725	"protein tyrosine phosphatase activity"		
Dcitr01g0533013	1					GO:0016021	"integral component of membrane"
Dcitr00g1240011	2			GO:0016747;GO:0003824	"transferase activity, transferring acyl groups other than amino-acyl groups";"catalytic activity"		
Dcitr04g0156011	1			GO:0005085	"guanyl-nucleotide exchange factor activity"		
Dcitr02g0111011	3	GO:0006886	"intracellular protein transport"	GO:0005049;GO:0008536	"nuclear export signal receptor activity";"Ran GTPase binding"		
Dcitr05g0859012	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003700;GO:0043565	"DNA-binding transcription factor activity";"sequence-specific DNA binding"		
Dcitr06g1350011	5	GO:0006470	"protein dephosphorylation"	GO:0004722;GO:0003824;GO:0043169	"protein serine/threonine phosphatase activity";"catalytic activity";"cation binding"	GO:0016021	"integral component of membrane"
Dcitr01g1060011	1			GO:0003676	"nucleic acid binding"		
Dcitr03g0720011	3	GO:0006629;GO:0046470	"lipid metabolic process";"phosphatidylcholine metabolic process"	GO:0004622	"lysophospholipase activity"		
Dcitr03g2006011	2	GO:0007264	"small GTPase mediated signal transduction"	GO:0005085	"guanyl-nucleotide exchange factor activity"		
Dcitr04g0594011	1	GO:0007165	"signal transduction"				
Dcitr06g0479012	5	GO:0005975;GO:0006013	"carbohydrate metabolic process";"mannose metabolic process"	GO:0003824;GO:0030246;GO:0004559	"catalytic activity";"carbohydrate binding";"alpha-mannosidase activity"		
Dcitr13g0718011	4	GO:0055085;GO:0030001	"transmembrane transport";"metal ion transport"	GO:0046873	"metal ion transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr09g0695011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr02g1875011	7	GO:0006281;GO:0051103;GO:0006310	"DNA repair";"DNA ligation involved in DNA repair";"DNA recombination"	GO:0003677;GO:0005524;GO:0003910;GO:0003909	"DNA binding";"ATP binding";"DNA ligase (ATP) activity";"DNA ligase activity"		
Dcitr03g1487011	5	GO:0016311;GO:0006470	"dephosphorylation";"protein dephosphorylation"	GO:0008138;GO:0016791;GO:0004725	"protein tyrosine/serine/threonine phosphatase activity";"phosphatase activity";"protein tyrosine phosphatase activity"		
Dcitr06g1044011	2			GO:0005179	"hormone activity"	GO:0005576	"extracellular region"
Dcitr00g0467011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr13g0556011	3			GO:0003954;GO:0008137	"NADH dehydrogenase activity";"NADH dehydrogenase (ubiquinone) activity"	GO:0005739	"mitochondrion"
Dcitr04g0320011	1			GO:0003676	"nucleic acid binding"		
Dcitr09g0554011	3	GO:0051276	"chromosome organization"	GO:0005524	"ATP binding"	GO:0005694	"chromosome"
Dcitr11g0406011	7	GO:0006139	"nucleobase-containing compound metabolic process"	GO:0004386;GO:0003677;GO:0003676;GO:0016818;GO:0005524;GO:0003678	"helicase activity";"DNA binding";"nucleic acid binding";"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"ATP binding";"DNA helicase activity"		
Dcitr07g1160011	6	GO:0055085;GO:0006811	"transmembrane transport";"ion transport"	GO:0005261;GO:0005216	"cation channel activity";"ion channel activity"	GO:0005886;GO:0016020	"plasma membrane";"membrane"
Dcitr10g0270011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1902011	1					GO:0016021	"integral component of membrane"
Dcitr07g0588014	1			GO:0080019	"fatty-acyl-CoA reductase (alcohol-forming) activity"		
Dcitr05g0416011	3	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr08g0776011	3	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0005524	"protein kinase activity";"ATP binding"		
Dcitr04g0904011	2	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003690	"double-stranded DNA binding"		
Dcitr10g1106011	1					GO:0016021	"integral component of membrane"
Dcitr01g2227011	3	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004930	"G protein-coupled receptor activity"	GO:0016021	"integral component of membrane"
Dcitr03g0161011	1			GO:0003676	"nucleic acid binding"		
Dcitr10g0263011	3	GO:0006396	"RNA processing"	GO:0003676;GO:0008173	"nucleic acid binding";"RNA methyltransferase activity"		
Dcitr06g0672013	2			GO:0003676;GO:0008270	"nucleic acid binding";"zinc ion binding"		
Dcitr04g1431011	2	GO:0050909	"sensory perception of taste"			GO:0016021	"integral component of membrane"
Dcitr01g1186011	1			GO:0003676	"nucleic acid binding"		
Dcitr01g1137011	3	GO:0032456;GO:0042147	"endocytic recycling";"retrograde transport, endosome to Golgi"			GO:1990745	"EARP complex"
Dcitr01g1231014	5	GO:0005975	"carbohydrate metabolic process"	GO:0003824;GO:0016810;GO:0008061	"catalytic activity";"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"chitin binding"	GO:0005576	"extracellular region"
Dcitr00g1233011	1	GO:0000290	"deadenylation-dependent decapping of nuclear-transcribed mRNA"				
Dcitr01g1480011	2	GO:0006402	"mRNA catabolic process"			GO:0030014	"CCR4-NOT complex"
Dcitr12g0420011	2			GO:0003676;GO:0005524	"nucleic acid binding";"ATP binding"		
Dcitr02g1819011	5	GO:0006364	"rRNA processing"	GO:0008757;GO:0008168;GO:0003723;GO:0005096	"S-adenosylmethionine-dependent methyltransferase activity";"methyltransferase activity";"RNA binding";"GTPase activator activity"		
Dcitr03g1608011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr00g0222011	1			GO:0046872	"metal ion binding"		
Dcitr00g0616011	2	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"		
Dcitr02g0735011	3			GO:0016787;GO:0003824;GO:0008270	"hydrolase activity";"catalytic activity";"zinc ion binding"		
Dcitr05g1463011	3	GO:0034453	"microtubule anchoring"	GO:0008017	"microtubule binding"	GO:0005813	"centrosome"
Dcitr10g0545012	5	GO:0010738	"regulation of protein kinase A signaling"	GO:0034237;GO:0003723;GO:0003676	"protein kinase A regulatory subunit binding";"RNA binding";"nucleic acid binding"	GO:0005739	"mitochondrion"
Dcitr01g0768011	1			GO:0005509	"calcium ion binding"		
Dcitr12g0402011	3	GO:0050808	"synapse organization"	GO:0005198	"structural molecule activity"	GO:0016010	"dystrophin-associated glycoprotein complex"
Dcitr01g1474011	2			GO:0020037;GO:0009055	"heme binding";"electron transfer activity"		
Dcitr03g1421011	4	GO:0050482;GO:0006644	"arachidonic acid secretion";"phospholipid metabolic process"	GO:0004623;GO:0003677	"phospholipase A2 activity";"DNA binding"		
Dcitr05g1530011	2			GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"		
Dcitr02g0566011	2	GO:0042325	"regulation of phosphorylation"			GO:0005737	"cytoplasm"
Dcitr09g0180011	5	GO:0009058;GO:0006520	"biosynthetic process";"cellular amino acid metabolic process"	GO:0003824;GO:0030170;GO:0008483	"catalytic activity";"pyridoxal phosphate binding";"transaminase activity"		
Dcitr03g1310011	2			GO:0003729;GO:0003676	"mRNA binding";"nucleic acid binding"		
Dcitr01g1418011	2	GO:0000245	"spliceosomal complex assembly"			GO:0005634	"nucleus"
Dcitr03g1729011	2	GO:0035023	"regulation of Rho protein signal transduction"	GO:0017048	"Rho GTPase binding"		
Dcitr06g0692011	1					GO:0005634	"nucleus"
Dcitr08g0555011	2	GO:0031032	"actomyosin structure organization"	GO:0003779	"actin binding"		
Dcitr03g0893011	1			GO:0003676	"nucleic acid binding"		
Dcitr07g1264011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr03g1523011	1			GO:0016787	"hydrolase activity"		
Dcitr11g0556011	2			GO:0003676;GO:0008270	"nucleic acid binding";"zinc ion binding"		
Dcitr07g0782011	1			GO:0051424	"corticotropin-releasing hormone binding"		
Dcitr08g0544011	7	GO:0007172;GO:0006468	"signal complex assembly";"protein phosphorylation"	GO:0004672;GO:0004713;GO:0005524	"protein kinase activity";"protein tyrosine kinase activity";"ATP binding"	GO:0005856;GO:0005925	"cytoskeleton";"focal adhesion"
Dcitr08g0775011	4	GO:0006511;GO:0007275	"ubiquitin-dependent protein catabolic process";"multicellular organism development"	GO:0008270	"zinc ion binding"	GO:0042025	"host cell nucleus"
Dcitr02g1992011	2	GO:0006611	"protein export from nucleus"	GO:0005049	"nuclear export signal receptor activity"		
Dcitr03g0959011	7	GO:0006260;GO:0006270	"DNA replication";"DNA replication initiation"	GO:0005524;GO:0003677;GO:0003688	"ATP binding";"DNA binding";"DNA replication origin binding"	GO:0005634;GO:0042555	"nucleus";"MCM complex"
Dcitr04g0782011	2			GO:0017048;GO:0004674	"Rho GTPase binding";"protein serine/threonine kinase activity"		
Dcitr01g1136011	2			GO:0003676;GO:0005524	"nucleic acid binding";"ATP binding"		
Dcitr04g1368011	2			GO:0008146	"sulfotransferase activity"	GO:0016021	"integral component of membrane"
Dcitr12g0380011	4	GO:0006355	"regulation of transcription, DNA-templated"			GO:0042025;GO:0030015;GO:0005634	"host cell nucleus";"CCR4-NOT core complex";"nucleus"
Dcitr01g1067011	2			GO:0030414	"peptidase inhibitor activity"	GO:0005576	"extracellular region"
Dcitr07g0419011	2			GO:0008061	"chitin binding"	GO:0005576	"extracellular region"
Dcitr02g1604011	4	GO:0006506	"GPI anchor biosynthetic process"	GO:0003824;GO:0051377;GO:0016772	"catalytic activity";"mannose-ethanolamine phosphotransferase activity";"transferase activity, transferring phosphorus-containing groups"		
Dcitr03g1357011	1					GO:0016020	"membrane"
Dcitr02g0912011	2			GO:0005085;GO:0005089	"guanyl-nucleotide exchange factor activity";"Rho guanyl-nucleotide exchange factor activity"		
Dcitr08g0410011	3	GO:1903818;GO:0030431;GO:0032222	"positive regulation of voltage-gated potassium channel activity";"sleep";"regulation of synaptic transmission, cholinergic"				
Dcitr07g1208011	1					GO:0016020	"membrane"
Dcitr03g0620011	3	GO:0055114	"oxidation-reduction process"	GO:0050660;GO:0016614	"flavin adenine dinucleotide binding";"oxidoreductase activity, acting on CH-OH group of donors"		
Dcitr02g1620011	5	GO:0009190;GO:0035556;GO:0006182	"cyclic nucleotide biosynthetic process";"intracellular signal transduction";"cGMP biosynthetic process"	GO:0004383;GO:0016849	"guanylate cyclase activity";"phosphorus-oxygen lyase activity"		
Dcitr04g0469011	1			GO:0003824	"catalytic activity"		
Dcitr06g0647011	4	GO:0055114	"oxidation-reduction process"	GO:0020037;GO:0005506;GO:0016705	"heme binding";"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"		
Dcitr04g1149011	1			GO:0005509	"calcium ion binding"		
Dcitr08g0756012	6	GO:0070588	"calcium ion transmembrane transport"	GO:0005388;GO:0000166;GO:0005524	"calcium transmembrane transporter activity, phosphorylative mechanism";"nucleotide binding";"ATP binding"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr03g1451011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr11g0372011	7	GO:0000184	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	GO:0004386;GO:0008270;GO:0003677;GO:0005524;GO:0016787	"helicase activity";"zinc ion binding";"DNA binding";"ATP binding";"hydrolase activity"	GO:0005737	"cytoplasm"
Dcitr06g0258011	4	GO:0006812;GO:0055085	"cation transport";"transmembrane transport"	GO:0008324	"cation transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr00g1417011	4	GO:0055114	"oxidation-reduction process"	GO:0020037;GO:0005506;GO:0016705	"heme binding";"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"		
Dcitr01g1241011	1			GO:0003824	"catalytic activity"		
Dcitr03g1756011	3	GO:0007155	"cell adhesion"	GO:0045296;GO:0051015	"cadherin binding";"actin filament binding"		
Dcitr01g2127011	2	GO:0006413	"translational initiation"	GO:0003743	"translation initiation factor activity"		
Dcitr04g0453013	1					GO:0001401	"SAM complex"
Dcitr02g0192011	3	GO:0007186	"G protein-coupled receptor signaling pathway"	GO:0004930	"G protein-coupled receptor activity"	GO:0016021	"integral component of membrane"
Dcitr03g1937011	1			GO:0016758	"transferase activity, transferring hexosyl groups"		
Dcitr04g0999012	1			GO:0046872	"metal ion binding"		
Dcitr05g0216012	3	GO:0005975	"carbohydrate metabolic process"	GO:0004563;GO:0004553	"beta-N-acetylhexosaminidase activity";"hydrolase activity, hydrolyzing O-glycosyl compounds"		
Dcitr05g0896011	1			GO:0005509	"calcium ion binding"		
Dcitr10g1039011	3	GO:0006813	"potassium ion transport"	GO:0005242	"inward rectifier potassium channel activity"	GO:0016021	"integral component of membrane"
